"countopioid","abandon_cars","graffiti","pothole","street_cleaning","trash","abandon_cars.nn","pothole.nn","trash.nn","graffiti.nn","street_cleaning.nn","pctUnemploy","MedHHInc","pctPoverty","TotalPop","TotalUnit","NEIGH","Longitude","Latitude"
1,0,0,1,7,0,435.171004213113,305.228551865442,284.114474020274,781.581956880433,245.681021605247,1.96822385582167,29559,19.2316812900166,4217,2749,"Westwood",-84.5849616073668,39.1252143776635
14,1,0,13,0,13,488.09350390512,185.091917118675,153.61108934777,979.891415444486,394.36149486879,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5853568639875,39.1330003030309
29,6,0,4,4,47,97.3334110978476,253.128875168298,46.2543888385995,810.630570854776,175.633670361629,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.585752273462,39.1407862145389
4,0,0,0,1,28,365.856047638718,296.003714423894,113.118168042376,998.808081462086,248.873433694847,8.6547656997131,30375,30.5546700669429,6274,3155,"Westwood",-84.5861478363632,39.148572112336
1,0,0,0,0,0,447.36841990702,362.020887226385,360.542818118683,1371.49304341733,517.628805376954,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5865435523183,39.1563579962687
0,0,0,0,0,0,1079.01321437434,946.021133365809,984.030054769399,1911.25097038094,1193.50447367692,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5869394217405,39.1641438664568
1,0,0,0,0,0,441.148850617789,449.008555349338,307.164460737946,1863.11653628344,381.923268223864,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.579906604338,39.0824802292691
0,0,0,0,0,0,560.487317215404,537.771010229222,543.234676966595,1429.88270604746,598.681979032912,4.72602739726027,45568,30.4109589041096,1460,869,"Sedamsville",-84.5803007041016,39.0902662550018
38,0,0,11,8,31,338.186153037416,176.205661752885,137.973414179049,850.636201513752,180.44071857342,4.19862737182075,40579,24.9697214372224,4954,2397,"West Price Hill",-84.5810893618025,39.1058382648447
94,1,0,28,10,15,271.86244492604,86.3538555198754,88.1695195545437,413.833401303611,94.1183428463875,4.19862737182075,40579,24.9697214372224,4954,2397,"West Price Hill",-84.5814839197413,39.1136242490727
35,12,2,12,12,33,90.0200445977565,173.175890019037,77.0405839977863,399.78433201774,111.801541996257,3.65799911855443,33285,37.5055090348171,2269,1065,"West Price Hill",-84.5818786305182,39.121410219581
1,1,0,16,0,7,534.244939209498,167.538347737565,135.233635894958,1032.19900139311,338.28240953202,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5822734941382,39.1291961762588
1,0,0,1,0,8,397.318891578821,385.781420292063,121.885235029305,787.815080071398,351.968472333304,3.89782716868469,36933,24.1499419472549,6029,2073,"Westwood",-84.5826685106158,39.1369821192646
26,7,1,1,20,35,172.18359552536,358.559810168722,42.0672373775347,767.142795235317,81.1554563551663,8.6547656997131,30375,30.5546700669429,6274,3155,"Westwood",-84.5830636801611,39.144768048379
13,1,0,14,4,32,285.480119681782,121.724800688442,70.5266548989296,1260.03680686504,191.918815230304,8.6547656997131,30375,30.5546700669429,6274,3155,"Westwood",-84.5834590028381,39.1525539637629
0,0,0,0,0,0,585.437673849472,531.652294955118,493.213091826568,1787.49746175999,700.451931780428,1.06761565836299,46519,19.2170818505338,4215,2604,"Westwood",-84.5838544785306,39.1603398653165
6,0,0,4,2,8,429.714589552513,298.728224031344,224.006672952901,1458.09709463664,284.396407450912,4.72602739726027,45568,30.4109589041096,1460,869,"Riverside",-84.5772196388422,39.0864618722222
1,0,0,2,0,5,492.125176745973,287.837084459957,153.503755038108,1229.96291504923,327.375122433274,4.72602739726027,45568,30.4109589041096,1460,869,"Sedamsville",-84.5776134992013,39.0942479153123
